"MEMBER.ID"	"MEMBER.TYPE"	"MARKETING.ROLE"	"MEMBER.SINCE.DATE"	"EXPIRATION.DATE"	"STATUS"	"MARKETINGPOWER.STATUS"	"PREFIX"	"SUFFIX"	"ADDRESS.CHANGE.DATE"	"COMMUNICATION.CHANGE.DATE"	"ALLOW.EMAIL.FLAG"	"COMPANY.NAME"	"JOB.TITLE"	"PRIMARY.ADDRESS.TYPE"	"PRIMARY.CITY"	"PRIMARY.STATE"	"PRIMARY.POSTAL.CODE"	"PRIMARY.COUNTRY"	"PRIMARY.PHONE.LOCATION"	"ALLOW.PHONE.CALLS"	"SECONDARY.ADDRESS.TYPE"	"SECONDARY.CITY"	"SECONDARY.STATE"	"SECONDARY.POSTAL.CODE"	"SECONDARY.COUNTRY"	"GROUP"	"MARKETING.RESPONSIBILITY"	"STUDENT.GRADUATION.DATE"	"HIGHEST.DEGREE"	"YEARS.IN.MARKETING"	"JOB.TITLE.CATEGORY"	"INDUSTRY"	"COMPANY.SALES.REVENUE"	"COMPANY.SIZE"	"RESPONSIBILITY.TYPE"	"YEARS.EMPLOYED.AT.COMPANY"	"AGE.CATEGORY"	"NUMBER.OF.OTHER.ASSOCS"	"PAID.BY.COMPANY"	"PRIMARY.TOPIC.AREA"	"SECONDARY.TOPIC.AREA"	"TERTIARY.TOPIC.AREA"	"DATE.LAST.MODIFIED"	"DATE.PULLED"	"MEMBER.FOCUS"	"AUTO.RENEWAL"	"MARKET.CODE"	"RENEW"
3282424	"PROFESSIONAL"	"Marketers"	2013-06-21	2014-06-30	"CURRENT"	"CONFIRMED"	"MRS"	NA	NA	NA	"Y"	"The Boston Globe"	"Sr. Marketing Manager"	"HOME"	"Boston"	"MA"	"02131"	"United States"	"HOME"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"10 to 19"	"Manager/Sr. Manager"	"Publishing/Broadcast/Internet/Media"	NA	"1000 to 4999"	"B to C"	NA	NA	NA	"N"	"Direct Marketing"	"Email Marketing"	"Professional Development"	"06/21/2013"	2014-02-27	NA	NA	NA	0
3282775	"PROFESSIONAL"	"Marketers"	2013-07-01	2014-06-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Profit Engineering Group"	"CEO"	"BUS"	"Newton"	"MA"	"02458"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	"20PLUS"	"CEO/President"	NA	NA	"1 to 9"	"B to C"	NA	NA	NA	"N"	"Analytics/Metrics"	"Database/CRM"	"Email Marketing"	"07/01/2013"	2014-02-27	NA	NA	NA	0
3282792	"PROFESSIONAL"	"Marketers"	2013-07-01	2014-06-30	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	"N"	"WeilFire Consulting"	"Creative Director"	"HOME"	"Arlington"	"MA"	"02476"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Bachelors"	"20PLUS"	"CEO/President"	"Publishing/Broadcast/Internet/Media"	NA	"1 to 9"	"B to C"	NA	NA	NA	"N"	"Advertising"	"Email Marketing"	"Marketing Communications"	"07/01/2013"	2014-02-27	NA	NA	NA	0
931341	"PROFESSIONAL"	"Researchers"	2000-01-01	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	NA	NA	"HOME"	"Somerville"	"MA"	"02144"	"United States"	"CELL"	"N"	"HOME"	"Somerville"	"MA"	"02144"	"United States"	"No"	"Market Research  to  Supplier Side"	NA	"Masters"	"20PLUS"	"Director/Sr. Director"	"Marketing Research"	NA	"1000 to 4999"	"B to C"	NA	NA	NA	"N"	"Analytics/Metrics"	"Marketing Research"	"Nonprofit Marketing"	"08/01/2012"	2014-03-31	NA	NA	NA	0
2002623	"PROFESSIONAL"	"Academics"	1992-01-31	2014-07-31	"CURRENT"	"CONFIRMED"	"DR"	NA	NA	NA	"Y"	NA	"Associate Professor"	"HOME"	"Franklin"	"MA"	"02038"	"United States"	"WORK"	"Y"	NA	NA	NA	NA	NA	"No"	"Education"	"12/01/1992"	"Doctorate"	"10 to 19"	"Academic/Professor"	"Education"	"51M to 100M"	"250 to 999"	"B to C"	NA	"45 to 54"	NA	"N"	"Global Marketing"	"Academia"	"Strategy/Planning"	"05/21/2008"	2014-03-31	NA	NA	NA	1
2962706	"PROFESSIONAL"	"Marketers"	2005-07-05	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"IHRSA"	"Senior Marketing Manager"	"BUS"	"Boston"	"MA"	"02210"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Direct Marketing"	NA	"Bachelors"	"5 to 9"	"Manager/Sr. Manager"	"Nonprofit"	"0 to 50 Million"	"50 to 249"	"B to B"	NA	"22 to 34"	"2 to 3"	"Y"	"Event Management Marketing"	"Nonprofit Marketing"	"Advertising"	"07/13/2009"	2014-03-31	NA	NA	NA	1
3015606	"PROFESSIONAL"	"Researchers"	2006-07-26	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Massachusetts General Hospital"	"Sr Manager of Market Research"	"BUS"	"Wakefield"	"MA"	"01880"	"United States"	"WORK"	"Y"	NA	NA	NA	NA	NA	"No"	"Market Research  to  Client Side"	NA	NA	NA	NA	"Health Care Services"	NA	NA	"B to C"	NA	NA	NA	NA	"Marketing Research"	"Academia"	"Nonprofit Marketing"	"02/09/2009"	2014-03-31	NA	NA	NA	0
3121065	"PROFESSIONAL"	"Researchers"	1995-05-26	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Irving Oil Marketing"	"Marketing Research Manager"	"BUS"	"Portsmouth"	"NH"	"03801"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	"Market Research  to  Client Side"	NA	"Masters"	"10 to 19"	"Manager/Sr. Manager"	"Retail"	"1 Billion plus"	"50 to 249"	"B to C"	NA	"45 to 54"	"0 to 1"	"N"	"Marketing Research"	"Brand/Product Management"	"Strategy/Planning"	"04/10/2012"	2014-03-31	NA	NA	NA	0
3121144	"PROFESSIONAL"	"Academics"	2008-07-25	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Harvard Business School"	"Edw W Carter Prof of Business"	"BUS"	"Boston"	"MA"	"02163"	"United States"	"WORK"	"Y"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	"20PLUS"	NA	NA	NA	NA	"B to C"	NA	NA	NA	NA	"Strategy/Planning"	"Database/CRM"	"Other"	"06/11/2012"	2014-03-31	NA	NA	NA	1
3154633	"PROFESSIONAL"	"Researchers"	2009-04-14	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Your Virtual Research Director"	"Market Research and Social Media Research Consultant"	"BUS"	"Hopkinton"	"MA"	"01748"	"United States"	"WORK"	"N"	"HOME"	"Hopkinton"	"MA"	"01748"	NA	"No"	"Other"	NA	"Bachelors"	"20PLUS"	"Consultant"	"Professional Services Marketing Management"	"0 to 50 Million"	"1 to 9"	"B to C"	NA	"45 to 54"	"0 to 1"	"N"	"Marketing Communications"	"Marketing Research"	"Social Media"	"08/22/2012"	2014-03-31	NA	NA	NA	0
3160104	"PROFESSIONAL"	"Marketers"	2009-06-09	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Vermont Energy Investment Corporation"	"Manager  Brand Strategy & Client Services"	"BUS"	"Burlington"	"VT"	"05401"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Marketing Communications"	NA	"Masters"	"10 to 19"	"Manager/Sr. Manager"	"Other"	"0 to 50 Million"	"250 to 999"	"B to B"	NA	"22 to 34"	"0 to 1"	"N"	"Brand/Product Management"	"Customer Engagement"	"Marketing Communications"	"07/16/2013"	2014-03-31	NA	NA	NA	1
3170702	"PROFESSIONAL"	"Marketers"	2010-07-29	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Brandeis University"	"Director of Marketing & Communications"	"BUS"	"Waltham"	"MA"	"02454"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Other"	NA	"Bachelors"	"20PLUS"	"Director/Sr. Director"	"Education"	NA	"10 to 49"	"B to C"	NA	"45 to 54"	"2 to 3"	"Y"	"Advertising"	"Brand/Product Management"	"Higher Education Marketing"	"09/24/2013"	2014-03-31	NA	NA	NA	1
3198341	"PROFESSIONAL"	"Academics"	2010-07-07	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"University of New Hampshire"	NA	"BUS"	"Durham"	"NH"	"03824"	NA	"WORK"	"Y"	NA	NA	NA	NA	NA	"No"	NA	NA	"Doctorate"	"Less Than 5"	NA	NA	NA	NA	"B to C"	NA	"22 to 34"	"0 to 1"	"Y"	"Customer Engagement"	"Professional Services"	"Merchandising/Retailing"	"07/31/2012"	2014-03-31	NA	NA	NA	1
3199796	"PROFESSIONAL"	"Marketers"	2010-07-29	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	NA	NA	"HOME"	"Boston"	"MA"	"02116"	"United States"	"HOME"	"Y"	"BUS"	"Boston"	"MA"	"02116"	"United States"	"No"	"Strategy/Planning"	"05/01/2011"	"Masters"	"Less Than 5"	"Account Executive/Director"	"Advertising"	NA	"250 to 999"	"B to C"	NA	NA	NA	"N"	"Analytics/Metrics"	"Brand/Product Management"	"Professional Development"	"06/19/2012"	2014-03-31	NA	NA	NA	0
3216119	"PROFESSIONAL"	"Marketers"	2011-01-06	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Stonehill College"	"Web Content Manager"	"BUS"	"Easton"	"MA"	"02357"	NA	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Higher Education Marketing"	NA	"Bachelors"	"5 to 9"	"Manager/Sr. Manager"	"Education"	"0 to 50 Million"	"1000 to 4999"	"B to C"	NA	"22 to 34"	"0 to 1"	"N"	"Higher Education Marketing"	"Online/Interactive Marketing"	"Social Media"	"07/19/2012"	2014-03-31	NA	NA	NA	0
3224476	"PROFESSIONAL"	"Marketers"	2012-07-05	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	NA	NA	"HOME"	"Woburn"	"MA"	"01801"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	"Online/Interactive"	NA	"Masters"	"20PLUS"	"Other"	"Telecommunications"	"0 to 50 Million"	"1 to 9"	"B to C"	NA	"45 to 54"	"2 to 3"	"N"	"Database/CRM"	"Online/Interactive Marketing"	"Professional Services"	"09/16/2013"	2014-03-31	NA	NA	NA	1
3226408	"YOUNG PROFESSIONAL"	"Marketers"	2011-04-20	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	NA	NA	"HOME"	"Brighton"	"MA"	"02135"	"United States"	"CELL"	"Y"	NA	NA	NA	NA	NA	"No"	"Sales/Sales Management"	NA	"Bachelors"	"Less Than 5"	"Manager/Sr. Manager"	"Telecommunications"	"1 Billion plus"	"25000PLUS"	"B to B"	NA	"22 to 34"	"0 to 1"	"Y"	"Marketing Research"	"Promotion Marketing"	"Public Relations"	"04/30/2012"	2014-03-31	NA	NA	NA	0
3233591	"PROFESSIONAL"	"Marketers"	2011-07-26	2014-07-31	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	"Y"	"Gordon College"	"Vice President  Marketing and Strategic Communications"	"BUS"	"Wenham"	"MA"	"01984"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Marketing Communications"	NA	"Masters"	"10 to 19"	"Vice President/EVP"	"Education"	NA	"50 to 249"	"B to C"	NA	"45 to 54"	"2 to 3"	"Y"	"Academia"	"Higher Education Marketing"	NA	"07/26/2011"	2014-03-31	NA	NA	NA	1
3248316	"PROFESSIONAL"	"Marketers"	2012-07-13	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Northeastern University"	"Associate Director  Marketing  Communications  and Stewardship"	"BUS"	"Boston"	"MA"	"02120"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Marketing Communications"	NA	"Masters"	"5 to 9"	"Manager/Sr. Manager"	"Education"	NA	"1000 to 4999"	"B to C"	NA	"22 to 34"	"0 to 1"	"N"	"Higher Education Marketing"	"Marketing Communications"	"Nonprofit Marketing"	"03/17/2014"	2014-03-31	NA	NA	NA	1
3251381	"STUDENT"	"Marketers"	2012-02-12	2014-07-31	"CURRENT"	"CONFIRMED"	"MISS"	NA	NA	NA	"N"	"Vanderbilt"	"Student"	"SCHL"	"Cambridge"	"MA"	"02138"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	"05/10/2013"	"Bachelors"	"Less Than 5"	"Other"	"Other"	NA	"1 to 9"	"B to C"	NA	NA	NA	"N"	"Brand/Product Management"	"Global Marketing"	"Social Media"	"07/09/2013"	2014-03-31	NA	NA	NA	0
3259280	"PROFESSIONAL"	"Marketers"	2012-07-02	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"N"	"G Stone Connections  LLC"	"Owner"	"HOME"	"Pompton Plains"	"NJ"	"07444"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"20PLUS"	"Consultant"	"Pharmaceuticals"	NA	"1 to 9"	"B to C"	NA	NA	NA	"N"	"Marketing Communications"	"Nonprofit Marketing"	"Public Relations"	"07/02/2012"	2014-03-31	NA	NA	NA	0
3259321	"PROFESSIONAL"	"Marketers"	2012-07-03	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"N"	"Veolia Energy North America"	"Director of Marketing and Communications"	"HOME"	"Framingham"	"MA"	"01701"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"10 to 19"	"Director/Sr. Director"	"Utilities &  Energy"	NA	"250 to 999"	"B to B"	NA	NA	NA	"N"	"Brand/Product Management"	"Marketing Communications"	"Marketing Research"	"07/03/2012"	2014-03-31	NA	NA	NA	1
3259574	"PROFESSIONAL"	"Marketers"	2012-07-10	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Stonehill College"	"Marketing Manager"	"BUS"	"Easton"	"MA"	"02357"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"5 to 9"	"Manager/Sr. Manager"	"Education"	NA	"1000 to 4999"	"B to C"	NA	NA	NA	"N"	"Brand/Product Management"	"Marketing Research"	"Social Media"	"07/10/2012"	2014-03-31	NA	NA	NA	0
3259648	"PROFESSIONAL"	"Marketers"	2012-07-03	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Massachusetts Medical Society"	"Director of Membership"	"BUS"	"Waltham"	"MA"	"02451"	"United States"	"WORK"	"Y"	NA	NA	NA	NA	NA	"No"	NA	NA	"Bachelors"	"20PLUS"	"Director/Sr. Director"	"Health Care Services"	NA	"250 to 999"	"B to C"	NA	NA	NA	"N"	"Brand/Product Management"	"Customer Engagement"	"Direct Marketing"	"08/21/2013"	2014-03-31	NA	NA	NA	1
3259822	"PROFESSIONAL"	"Marketers"	2012-07-16	2014-07-31	"CURRENT"	"CONFIRMED"	"MRS"	NA	NA	NA	"N"	"Saint Anselm College"	"AVP-CCM"	"BUS"	"Manchester"	"NH"	"03102"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Bachelors"	"Less Than 5"	"Director/Sr. Director"	"Education"	NA	"250 to 999"	"B to C"	NA	NA	NA	"N"	"Advertising"	"Higher Education Marketing"	"Marketing Communications"	"07/16/2012"	2014-03-31	NA	NA	NA	0
3259888	"PROFESSIONAL"	"Marketers"	2012-07-17	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Emerson College"	"Student"	"HOME"	"Revere"	"MA"	"02151"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	"05/28/2012"	"Masters"	"Less Than 5"	"Student"	"Transportation & Warehousing"	NA	"10 to 49"	"B to C"	NA	NA	NA	"N"	"Advertising"	"Brand/Product Management"	"Green Marketing"	"07/17/2012"	2014-03-31	NA	NA	NA	1
3259966	"YOUNG PROFESSIONAL"	"Marketers"	2012-07-31	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	NA	NA	"HOME"	"Chelmsford"	"MA"	"01824"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	"12/01/2012"	NA	NA	NA	NA	NA	NA	"B to C"	NA	NA	NA	"N"	"Brand/Product Management"	"Event Management Marketing"	"Green Marketing"	"07/31/2012"	2014-03-31	NA	NA	NA	1
3260166	"PROFESSIONAL"	"Marketers"	2012-07-26	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Liberty Mutual"	"VP  Brand Marketing"	"BUS"	"Boston"	"MA"	"02116"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"Less Than 5"	"Vice President/EVP"	"Insurance"	NA	"25000PLUS"	"B to C"	NA	NA	NA	"N"	"Advertising"	"Analytics/Metrics"	"Marketing Communications"	"07/26/2012"	2014-03-31	NA	NA	NA	1
3260256	"PROFESSIONAL"	"Academics"	2012-07-30	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Harvard Business School"	"Assistant Professor of Business Admin"	"BUS"	"Boston"	"MA"	"02163"	"United States"	"WORK"	"Y"	NA	NA	NA	NA	NA	"No"	NA	NA	"Doctorate"	"5 to 9"	"Academic/Professor"	"Marketing Research"	NA	"1000 to 4999"	"B to C"	NA	NA	NA	"N"	"Academia"	"Sales/Sales Management"	NA	"05/24/2013"	2014-03-31	NA	NA	NA	1
3283062	"PROFESSIONAL"	"Researchers"	2013-07-09	2014-07-31	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	"Y"	"Demand Facts"	"President"	"BUS"	"Westford"	"MA"	"01886"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Market Research  to  Supplier Side"	NA	"Masters"	"20PLUS"	"Principal/Partner"	"Marketing Research"	NA	"1 to 9"	"B to B"	NA	NA	NA	"N"	"Marketing Research"	"Product Management/Development"	"Sales/Sales Management"	"07/09/2013"	2014-03-31	NA	NA	NA	0
3283156	"YOUNG PROFESSIONAL"	"Marketers"	2013-07-12	2014-07-31	"CURRENT"	"CONFIRMED"	"MRS"	NA	NA	NA	"Y"	"Integra Companies"	"Marketing Manager"	"BUS"	"Devens"	"MA"	"01434"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	NA	"05/19/2012"	"Bachelors"	"5 to 9"	"Manager/Sr. Manager"	"Manufacturing"	NA	"10 to 49"	"B to B"	NA	NA	NA	"N"	"Advertising"	"Brand/Product Management"	"Email Marketing"	"07/12/2013"	2014-03-31	NA	NA	NA	0
3283176	"PROFESSIONAL"	"Marketers"	2013-07-12	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Cambridge Healthtech Institute"	"Marketing"	"BUS"	"Needham"	"MA"	"02494"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Bachelors"	"Less Than 5"	"Assitant/Coordinator"	"Publishing/Broadcast/Internet/Media"	NA	"50 to 249"	"B to B"	NA	NA	NA	"N"	"Email Marketing"	"Marketing Communications"	"Social Media"	"07/12/2013"	2014-03-31	NA	NA	NA	0
3283264	"YOUNG PROFESSIONAL"	"Marketers"	2013-07-16	2014-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"dwinQ"	"Manager of Strategic Business Development and Social Media Marketing"	"HOME"	"Belmont"	"MA"	"02478"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	"05/31/2011"	"Bachelors"	"Less Than 5"	"Manager/Sr. Manager"	"Advertising"	NA	"10 to 49"	"B to B"	NA	NA	NA	"N"	"Customer Engagement"	"Event Management Marketing"	"Sales/Sales Management"	"07/16/2013"	2014-03-31	NA	NA	NA	0
3283373	"PROFESSIONAL"	"Marketers"	2013-07-17	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Flynn Consulting Group LLC"	"President"	"BUS"	"Saunderstown"	"RI"	"02874"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"20PLUS"	"CEO/President"	"Other"	NA	"1 to 9"	"B to C"	NA	NA	NA	"N"	"Analytics/Metrics"	"Marketing Communications"	"Marketing Research"	"07/17/2013"	2014-03-31	NA	NA	NA	1
3283470	"PROFESSIONAL"	"Marketers"	2013-07-20	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Tremendousmaid.Com"	"Marketing Learner"	"BUS"	"Boston"	"MA"	"02130"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	"Less Than 5"	"CEO/President"	NA	NA	"1 to 9"	"B to B"	NA	NA	NA	"N"	"Brand/Product Management"	NA	NA	"07/20/2013"	2014-03-31	NA	NA	NA	0
3283641	"PROFESSIONAL"	"Academics"	2013-07-30	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Middlesex Community College"	"Director of Marketing Communications"	"SCHL"	"Bedford"	"MA"	"01730"	"United States"	"SCHL"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"10 to 19"	"Director/Sr. Director"	"Education"	NA	"1000 to 4999"	"B to C"	NA	NA	NA	"N"	"Advertising"	"Marketing Communications"	"Online/Interactive Marketing"	"11/21/2013"	2014-03-31	NA	NA	NA	0
3283642	"PROFESSIONAL"	"Academics"	2013-07-25	2014-07-31	"CURRENT"	"CONFIRMED"	"DR"	NA	NA	NA	"Y"	"Simmons College"	"Associate Professor"	"SCHL"	"Boston"	"MA"	"02115"	"United States"	"SCHL"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Doctorate"	"5 to 9"	"Academic/Professor"	"Education"	NA	"1000 to 4999"	"B to C"	NA	NA	NA	"N"	"Academia"	NA	NA	"07/25/2013"	2014-03-31	NA	NA	NA	0
3283673	"PROFESSIONAL"	"Researchers"	2013-07-26	2014-07-31	"CURRENT"	"CONFIRMED"	"DR"	NA	NA	NA	"Y"	"Analysis Group  Inc."	"Manager"	"BUS"	"Boston"	"MA"	"02111"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Market Research  to  Client Side"	NA	"Doctorate"	"5 to 9"	"Consultant"	"Other"	NA	"250 to 999"	"B to C"	NA	NA	NA	"N"	"Academia"	"Analytics/Metrics"	"Brand/Product Management"	"07/26/2013"	2014-03-31	NA	NA	NA	1
3283899	"PROFESSIONAL"	"Marketers"	2013-07-31	2014-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Opus Design"	"Creative Director"	"BUS"	"Boston"	"MA"	"02135"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Bachelors"	"Less Than 5"	"Principal/Partner"	"Other"	NA	"1 to 9"	"B to B"	NA	NA	NA	"N"	"Academia"	"Customer Engagement"	"Higher Education Marketing"	"07/31/2013"	2014-03-31	NA	NA	NA	0
723974	"PROFESSIONAL"	"Academics"	1963-05-01	2014-08-31	"CURRENT"	"UNCONFIRMED"	"PROF"	NA	NA	NA	"Y"	"Harvard University"	"Professor"	"BUS"	"Boston"	"MA"	"02163"	"United States"	"WORK"	"Y"	"HOME"	"Wayland"	"MA"	"01778"	"United States"	"No"	"Education"	NA	"Doctorate"	"20PLUS"	NA	"Education"	"101M to 500M"	"250 to 999"	"B to C"	NA	"65OVER"	NA	"N"	"Marketing Communications"	"Brand/Product Management"	"Nonprofit Marketing"	"08/04/2005"	2014-04-29	NA	NA	NA	1
810168	"PROFESSIONAL"	"Researchers"	1987-04-01	2014-08-31	"CURRENT"	"CONFIRMED"	"MS"	"II"	NA	NA	"Y"	NA	"Corporate Research Director"	"HOME"	"Stoughton"	"MA"	"02072"	"United States"	NA	NA	"BUS"	"Groton"	"MA"	"01471"	"United States"	"No"	"Strategy/Planning"	NA	"Doctorate"	"20PLUS"	"Director/Sr. Director"	"Other"	"1 Billion plus"	"5000 to 9999"	"B to B"	NA	"45 to 54"	"2 to 3"	"Y"	"Marketing Research"	"Brand/Product Management"	"Direct Marketing"	"08/05/2009"	2014-04-29	NA	NA	NA	1
875730	"EMERITUS"	"Academics"	1990-01-01	2014-08-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	NA	NA	"HOME"	"Cambridge"	"MA"	"02140"	"United States"	"HOME"	"N"	NA	NA	NA	NA	NA	"No"	"Education"	NA	"Doctorate"	"20PLUS"	"Academic/Professor"	"Education"	"0 to 50 Million"	"1 to 9"	"B to B"	"10 to 19"	"65OVER"	"0 to 1"	"N"	"Brand/Product Management"	"Global Marketing"	"Strategy/Planning"	"08/02/2010"	2014-04-29	NA	NA	NA	1
2140566	"PROFESSIONAL"	"Researchers"	1997-02-14	2014-08-31	"CURRENT"	"UNCONFIRMED"	"MR"	NA	NA	NA	"Y"	"Blockbuster Strategy Group"	"President"	"BUS"	"Swampscott"	"MA"	"01907-2423"	"United States"	"WORK"	"Y"	"HOME"	"Swampscott"	"MA"	"01907"	"United States"	"No"	"Market Research  to  Client Side"	NA	"Masters"	"10 to 19"	"Account Executive/Director"	"Health Care Services"	"101M to 500M"	"250 to 999"	"B to C"	NA	"35 to 44"	NA	NA	"Marketing Research"	"Strategy/Planning"	"Brand/Product Management"	"07/11/2011"	2014-04-29	NA	NA	NA	1
2945842	"PROFESSIONAL"	"Marketers"	2005-01-01	2014-08-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	NA	"Director of Marketing"	"HOME"	"Newton"	"MA"	"02465"	"United States"	"WORK"	"Y"	"BUS"	"Natick"	"MA"	"01760"	"United States"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"B to B"	NA	NA	NA	NA	"Strategy/Planning"	"Direct Marketing"	"Online/Interactive Marketing"	"03/16/2011"	2014-04-29	NA	NA	NA	0
3039150	"PROFESSIONAL"	"Researchers"	2007-05-04	2014-08-31	"CURRENT"	"CONFIRMED"	"MRS"	NA	NA	NA	"Y"	NA	"Insights Project Leader"	"HOME"	"Portsmouth"	"NH"	"03801-3967"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Market Research  to  Client Side"	NA	"Bachelors"	"5 to 9"	"Other"	"Insurance"	"1 Billion plus"	"25000PLUS"	"B to C"	NA	"22 to 34"	"0 to 1"	"N"	"Analytics/Metrics"	"Marketing Research"	"Product Management/Development"	"10/25/2013"	2014-04-29	NA	NA	NA	1
3125759	"PROFESSIONAL"	"Marketers"	2008-08-19	2014-08-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Emerson College"	"Vice President of Enrollment Management"	"BUS"	"Boston"	"MA"	"02116"	"United States"	"WORK"	"Y"	NA	NA	NA	NA	NA	"No"	"Higher Education Marketing"	NA	NA	NA	NA	NA	NA	NA	"B to C"	NA	NA	NA	NA	"Higher Education Marketing"	"Marketing Communications"	"Marketing Research"	"10/01/2009"	2014-04-29	NA	NA	NA	1
